Date,MinTemp,MaxTemp,Rainfall,Humidity3pm,MeanTemp,Season
2008-12-01,8.0,24.3,0.0,29,16.15,Winter
2008-12-02,14.0,26.9,3.6,36,20.45,Winter
2008-12-03,13.7,23.4,3.6,69,18.549999999999997,Winter
2008-12-04,13.3,15.5,39.8,56,14.4,Winter
2008-12-05,7.6,16.1,2.8,49,11.850000000000001,Winter
2008-12-06,6.2,16.9,0.0,57,11.549999999999999,Winter
2008-12-07,6.1,18.2,0.2,47,12.149999999999999,Winter
2008-12-08,8.3,17.0,0.0,57,12.65,Winter
2008-12-09,8.8,19.5,0.0,48,14.15,Winter
2008-12-10,8.4,22.8,16.2,32,15.600000000000001,Winter
2008-12-11,9.1,25.2,0.0,34,17.15,Winter
2008-12-12,8.5,27.3,0.2,35,17.9,Winter
2008-12-13,10.1,27.9,0.0,29,19.0,Winter
2008-12-14,12.1,30.9,0.0,20,21.5,Winter
2008-12-15,10.1,31.2,0.0,16,20.65,Winter
2008-12-16,12.4,32.1,0.0,22,22.25,Winter
2008-12-17,13.8,31.2,0.0,23,22.5,Winter
2008-12-18,11.7,30.0,1.2,26,20.85,Winter
2008-12-19,12.4,32.3,0.6,25,22.349999999999998,Winter
2008-12-20,15.6,33.4,0.0,27,24.5,Winter
2008-12-21,15.3,33.4,0.0,26,24.35,Winter
2008-12-22,16.4,19.4,0.4,72,17.9,Winter
2008-12-23,12.8,18.5,25.8,79,15.65,Winter
2008-12-24,12.0,24.3,0.4,57,18.15,Winter
2008-12-25,15.4,28.4,0.0,31,21.9,Winter
2008-12-26,15.6,26.9,0.0,48,21.25,Winter
2008-12-27,13.3,22.2,0.2,55,17.75,Winter
2008-12-28,12.9,28.0,0.0,31,20.45,Winter
2008-12-29,15.1,24.3,0.0,80,19.7,Winter
2008-12-30,13.6,24.1,0.4,49,18.85,Winter
2008-12-31,15.1,20.4,22.6,90,17.75,Winter
2009-01-01,11.6,26.3,4.2,46,18.95,Winter
2009-01-02,16.6,24.2,0.2,60,20.4,Winter
2009-01-03,13.3,26.5,6.6,40,19.9,Winter
2009-01-04,14.5,21.8,0.0,63,18.15,Winter
2009-01-05,16.3,26.8,0.0,54,21.55,Winter
2009-01-06,17.2,25.8,0.0,74,21.5,Winter
2009-01-07,16.5,28.2,4.0,42,22.35,Winter
2009-01-08,15.0,29.4,0.0,24,22.2,Winter
2009-01-09,14.9,24.8,0.0,37,19.85,Winter
2009-01-10,11.8,18.5,0.6,63,15.15,Winter
2009-01-11,11.7,21.5,0.0,51,16.6,Winter
2009-01-12,9.6,20.3,0.0,49,14.95,Winter
2009-01-13,8.9,27.1,0.0,37,18.0,Winter
2009-01-14,10.1,29.9,0.0,36,20.0,Winter
2009-01-15,15.5,21.1,5.4,86,18.3,Winter
2009-01-16,10.8,21.7,1.4,40,16.25,Winter
2009-01-17,7.5,20.9,0.0,43,14.2,Winter
2009-01-18,12.8,21.0,0.0,54,16.9,Winter
2009-01-19,12.6,23.1,3.4,74,17.85,Winter
2009-01-20,14.8,29.5,6.4,48,22.15,Winter
2009-01-21,19.9,22.0,11.0,62,20.95,Winter
2009-01-22,9.2,20.4,17.4,49,14.799999999999999,Winter
2009-01-23,12.4,24.4,0.0,43,18.4,Winter
2009-01-24,11.3,21.7,3.4,52,16.5,Winter
2009-01-25,9.8,26.3,0.0,35,18.05,Winter
2009-01-26,14.3,26.7,0.0,64,20.5,Winter
2009-01-27,15.1,28.3,14.4,44,21.7,Winter
2009-01-28,14.4,31.6,0.0,30,23.0,Winter
2009-01-29,15.4,35.0,0.0,18,25.2,Winter
2009-01-30,13.8,33.5,0.0,20,23.65,Winter
2009-01-31,13.6,34.2,0.0,20,23.900000000000002,Winter
2009-02-01,14.3,35.0,0.0,14,24.65,Winter
2009-02-02,15.9,23.4,0.0,55,19.65,Winter
2009-02-03,16.7,25.3,0.0,45,21.0,Winter
2009-02-04,12.1,27.5,0.0,40,19.8,Winter
2009-02-05,14.3,34.1,0.0,34,24.200000000000003,Winter
2009-02-06,16.5,33.9,0.0,36,25.2,Winter
2009-02-07,16.5,30.3,0.0,44,23.4,Winter
2009-02-08,17.5,29.9,0.0,45,23.7,Winter
2009-02-09,14.7,34.2,0.0,25,24.450000000000003,Winter
2009-02-10,17.5,35.8,0.0,24,26.65,Winter
2009-02-11,20.9,35.7,0.0,28,28.3,Winter
2009-02-12,17.0,33.8,2.0,35,25.4,Winter
2009-02-13,16.0,22.8,0.0,57,19.4,Winter
2009-02-14,15.4,33.8,0.0,26,24.599999999999998,Winter
2009-02-15,17.9,33.2,0.0,62,25.55,Winter
2009-02-16,15.2,25.1,4.8,42,20.15,Winter
2009-02-17,15.1,20.4,0.0,55,17.75,Winter
2009-02-18,15.3,19.6,18.8,88,17.450000000000003,Winter
2009-02-19,17.2,24.7,12.2,71,20.95,Winter
2009-02-20,15.9,19.9,0.8,58,17.9,Winter
2009-02-21,10.0,22.5,0.0,46,16.25,Winter
2009-02-22,9.9,24.4,0.0,38,17.15,Winter
2009-02-23,10.3,27.8,0.0,29,19.05,Winter
2009-02-24,15.4,25.7,0.0,32,20.55,Winter
2009-02-25,12.7,28.8,0.0,28,20.75,Winter
2009-02-26,13.2,31.3,0.0,28,22.25,Winter
2009-02-27,15.3,33.2,0.0,18,24.25,Winter
2009-02-28,17.9,33.9,0.0,22,25.9,Winter
2009-03-01,18.0,34.9,0.0,29,26.45,Spring
2009-03-02,17.6,27.8,5.2,49,22.700000000000003,Spring
2009-03-03,16.0,23.8,2.2,49,19.9,Spring
2009-03-04,14.9,28.8,0.0,44,21.85,Spring
2009-03-05,17.1,29.6,0.0,38,23.35,Spring
2009-03-06,18.2,22.6,1.8,76,20.4,Spring
2009-03-07,16.8,22.8,9.0,71,19.8,Spring
2009-03-08,13.6,27.4,1.0,41,20.5,Spring
2009-03-09,14.5,24.2,0.0,76,19.35,Spring
2009-03-10,12.4,19.9,16.2,58,16.15,Spring
2009-03-11,10.4,20.9,0.0,51,15.649999999999999,Spring
2009-03-12,9.1,23.1,0.0,37,16.1,Spring
2009-03-13,8.9,26.0,0.0,34,17.45,Spring
2009-03-14,14.5,24.2,4.4,60,19.35,Spring
2009-03-15,12.6,18.2,11.0,73,15.399999999999999,Spring
2009-03-16,8.6,24.2,0.2,37,16.4,Spring
2009-03-17,10.8,25.2,0.0,32,18.0,Spring
2009-03-18,11.2,26.1,0.0,40,18.65,Spring
2009-03-19,12.1,24.1,0.0,46,18.1,Spring
2009-03-20,10.8,25.8,0.0,42,18.3,Spring
2009-03-21,11.4,27.1,0.0,38,19.25,Spring
2009-03-22,12.0,28.9,0.0,31,20.45,Spring
2009-03-23,16.3,24.8,1.8,56,20.55,Spring
2009-03-24,12.7,28.6,6.6,42,20.65,Spring
2009-03-25,12.7,25.1,0.0,32,18.9,Spring
2009-03-26,12.0,23.8,0.0,34,17.9,Spring
2009-03-27,11.5,25.9,0.0,35,18.7,Spring
2009-03-28,13.0,28.2,0.0,27,20.6,Spring
2009-03-29,11.7,27.6,0.0,25,19.65,Spring
2009-03-30,14.8,17.3,0.0,78,16.05,Spring
2009-03-31,7.7,18.4,10.4,34,13.049999999999999,Spring
2009-04-01,4.4,21.8,0.0,31,13.100000000000001,Spring
2009-04-02,7.4,24.4,0.0,37,15.899999999999999,Spring
2009-04-03,8.3,27.3,0.0,28,17.8,Spring
2009-04-04,10.1,28.2,0.0,28,19.15,Spring
2009-04-05,12.0,27.6,0.0,35,19.8,Spring
2009-04-06,12.9,31.8,0.0,24,22.35,Spring
2009-04-07,10.8,29.2,0.0,34,20.0,Spring
2009-04-08,9.5,27.4,3.0,39,18.45,Spring
2009-04-09,12.1,27.8,0.0,33,19.95,Spring
2009-04-10,12.5,31.7,0.0,28,22.1,Spring
2009-04-11,13.9,34.7,0.0,18,24.3,Spring
2009-04-12,13.3,31.7,0.2,23,22.5,Spring
2009-04-13,13.2,33.1,0.0,18,23.15,Spring
2009-04-14,12.3,33.8,0.0,15,23.049999999999997,Spring
2009-04-15,13.8,35.2,0.0,15,24.5,Spring
2009-04-16,11.3,32.3,0.0,17,21.799999999999997,Spring
2009-04-17,11.7,30.2,0.0,22,20.95,Spring
2009-04-18,12.5,29.9,0.0,30,21.2,Spring
2009-04-19,15.1,26.2,0.0,48,20.65,Spring
2009-04-20,11.5,29.3,0.0,35,20.4,Spring
2009-04-21,13.0,14.8,0.0,62,13.9,Spring
2009-04-22,11.6,19.6,0.0,64,15.600000000000001,Spring
2009-04-23,12.8,24.9,0.0,44,18.85,Spring
2009-04-24,15.5,22.4,0.6,68,18.95,Spring
2009-04-25,13.1,17.4,6.4,93,15.25,Spring
2009-04-26,12.6,20.2,19.8,50,16.4,Spring
2009-04-27,4.4,18.3,0.0,36,11.350000000000001,Spring
2009-04-28,4.4,18.2,0.0,35,11.3,Spring
2009-04-29,7.1,18.5,0.0,30,12.8,Spring
2009-04-30,4.2,18.9,0.0,34,11.549999999999999,Spring
2009-05-01,9.6,18.8,0.0,42,14.2,Spring
2009-05-02,3.5,21.8,0.0,34,12.65,Spring
2009-05-03,5.3,23.3,0.0,26,14.3,Spring
2009-05-04,7.0,14.3,2.6,40,10.65,Spring
2009-05-05,0.4,18.9,0.0,33,9.649999999999999,Spring
2009-05-06,3.2,21.4,0.0,27,12.299999999999999,Spring
2009-05-07,5.9,21.8,0.0,35,13.850000000000001,Spring
2009-05-08,8.1,20.5,0.0,48,14.3,Spring
2009-05-09,6.9,18.9,0.0,45,12.899999999999999,Spring
2009-05-10,5.6,19.5,0.0,49,12.55,Spring
2009-05-11,7.2,22.9,0.0,28,15.049999999999999,Spring
2009-05-12,7.1,23.4,0.0,29,15.25,Spring
2009-05-13,6.1,24.1,0.0,32,15.100000000000001,Spring
2009-05-14,7.1,19.8,2.0,56,13.45,Spring
2009-05-15,5.6,18.0,5.2,40,11.8,Spring
2009-05-16,5.4,20.7,0.0,36,13.05,Spring
2009-05-17,6.3,19.3,0.0,39,12.8,Spring
2009-05-18,5.3,21.0,0.0,44,13.15,Spring
2009-05-19,7.9,19.7,0.0,43,13.8,Spring
2009-05-20,8.4,16.1,0.0,51,12.25,Spring
2009-05-21,8.1,18.7,0.0,65,13.399999999999999,Spring
2009-05-22,2.4,20.6,0.0,34,11.5,Spring
2009-05-23,5.6,18.9,0.0,49,12.25,Spring
2009-05-24,7.5,19.0,0.0,43,13.25,Spring
2009-05-25,2.5,21.2,0.0,55,11.85,Spring
2009-05-26,5.0,20.9,0.0,42,12.95,Spring
2009-05-27,3.8,21.7,0.2,34,12.75,Spring
2009-05-28,7.9,18.7,0.0,51,13.3,Spring
2009-05-29,4.3,11.3,7.2,60,7.800000000000001,Spring
2009-05-30,-2.1,13.8,0.2,40,5.8500000000000005,Spring
2009-05-31,-1.8,14.8,0.0,40,6.5,Spring
2009-06-01,3.8,13.8,0.0,54,8.8,Summer
2009-06-02,2.1,17.3,0.0,38,9.700000000000001,Summer
2009-06-03,0.5,17.1,0.0,42,8.8,Summer
2009-06-04,-0.9,16.7,0.0,42,7.8999999999999995,Summer
2009-06-05,0.4,19.0,0.0,41,9.7,Summer
2009-06-06,7.5,16.8,0.0,53,12.15,Summer
2009-06-07,8.3,17.6,0.0,43,12.950000000000001,Summer
2009-06-08,-0.2,18.1,0.0,44,8.950000000000001,Summer
2009-06-09,0.1,21.0,0.0,36,10.55,Summer
2009-06-10,1.5,20.9,0.0,41,11.2,Summer
2009-06-11,8.3,17.4,0.0,52,12.85,Summer
2009-06-12,9.4,19.2,0.0,47,14.3,Summer
2009-06-13,1.3,19.0,0.0,34,10.15,Summer
2009-06-14,2.2,18.6,0.0,44,10.4,Summer
2009-06-15,-0.4,17.9,0.0,40,8.75,Summer
2009-06-16,4.5,16.0,1.8,69,10.25,Summer
2009-06-17,7.9,12.3,1.0,78,10.100000000000001,Summer
2009-06-18,4.3,14.1,0.8,53,9.2,Summer
2009-06-19,-2.7,18.1,0.0,36,7.700000000000001,Summer
2009-06-20,0.3,17.0,0.0,52,8.65,Summer
2009-06-21,3.8,17.4,0.0,47,10.6,Summer
2009-06-22,2.4,14.7,0.0,43,8.549999999999999,Summer
2009-06-23,1.2,14.8,0.0,49,8.0,Summer
2009-06-24,1.2,14.5,0.0,43,7.85,Summer
2009-06-25,-0.3,17.5,0.0,48,8.6,Summer
2009-06-26,4.7,18.5,3.8,50,11.6,Summer
2009-06-27,4.9,18.1,5.2,55,11.5,Summer
2009-06-28,1.4,16.8,0.0,50,9.1,Summer
2009-06-29,2.2,17.5,0.2,45,9.85,Summer
2009-06-30,-0.1,18.0,0.0,46,8.95,Summer
2009-07-01,-0.9,18.5,0.0,38,8.8,Summer
2009-07-02,0.6,14.0,0.0,67,7.3,Summer
2009-07-03,4.6,15.7,0.0,67,10.149999999999999,Summer
2009-07-04,9.8,14.4,0.8,86,12.100000000000001,Summer
2009-07-05,10.6,15.1,3.8,65,12.85,Summer
2009-07-06,7.8,15.1,0.0,65,11.45,Summer
2009-07-07,4.4,16.7,0.0,42,10.55,Summer
2009-07-08,-0.2,15.5,0.0,42,7.65,Summer
2009-07-09,4.3,14.5,0.0,70,9.4,Summer
2009-07-10,7.4,16.3,0.0,65,11.850000000000001,Summer
2009-07-11,8.6,13.7,6.2,94,11.149999999999999,Summer
2009-07-12,10.2,15.0,4.8,65,12.6,Summer
2009-07-13,7.3,16.4,0.2,48,11.85,Summer
2009-07-14,8.7,13.0,0.6,58,10.85,Summer
2009-07-15,1.0,11.8,0.0,49,6.4,Summer
2009-07-16,2.1,14.7,0.0,57,8.4,Summer
2009-07-17,6.4,16.9,0.0,51,11.649999999999999,Summer
2009-07-18,5.4,15.5,0.0,58,10.45,Summer
2009-07-19,0.4,15.5,0.0,70,7.95,Summer
2009-07-20,4.0,15.9,0.0,63,9.95,Summer
2009-07-21,8.4,11.7,4.8,86,10.05,Summer
2009-07-22,0.4,13.9,0.6,59,7.15,Summer
2009-07-23,4.2,14.0,0.0,44,9.1,Summer
2009-07-24,0.9,12.9,0.0,53,6.9,Summer
2009-07-25,0.8,13.0,0.0,69,6.9,Summer
2009-07-26,4.3,12.6,0.0,54,8.45,Summer
2009-07-27,6.3,11.8,0.0,48,9.05,Summer
2009-07-28,3.5,14.3,0.0,51,8.9,Summer
2009-07-29,-1.5,14.8,0.0,41,6.65,Summer
2009-07-30,1.2,16.0,0.0,38,8.6,Summer
2009-07-31,0.5,15.4,0.0,68,7.95,Summer
2009-08-01,5.3,11.7,2.0,56,8.5,Summer
2009-08-02,6.6,13.1,0.2,53,9.85,Summer
2009-08-03,-1.6,11.5,0.0,53,4.95,Summer
2009-08-04,-3.1,12.0,0.0,52,4.45,Summer
2009-08-05,-0.1,14.2,0.0,55,7.05,Summer
2009-08-06,-0.6,14.0,0.0,59,6.7,Summer
2009-08-07,3.0,11.1,0.8,96,7.05,Summer
2009-08-08,2.9,9.5,16.8,72,6.2,Summer
2009-08-09,-1.3,8.8,0.0,68,3.7500000000000004,Summer
2009-08-10,1.8,8.7,0.0,85,5.25,Summer
2009-08-11,2.9,8.4,1.6,66,5.65,Summer
2009-08-12,-2.6,11.1,0.2,54,4.25,Summer
2009-08-13,0.5,11.0,0.0,69,5.75,Summer
2009-08-14,2.7,16.5,0.0,51,9.6,Summer
2009-08-15,-1.7,13.6,0.0,46,5.95,Summer
2009-08-16,-0.9,12.8,0.2,62,5.95,Summer
2009-08-17,-1.8,11.5,0.0,55,4.85,Summer
2009-08-18,1.3,10.6,0.0,73,5.95,Summer
2009-08-19,2.4,11.6,1.2,48,7.0,Summer
2009-08-20,-1.1,11.0,0.2,87,4.95,Summer
2009-08-21,2.3,11.6,19.2,56,6.949999999999999,Summer
2009-08-22,-2.2,11.6,0.0,33,4.699999999999999,Summer
2009-08-23,-3.5,11.2,0.0,48,3.8499999999999996,Summer
2009-08-24,-1.0,12.2,0.0,51,5.6,Summer
2009-08-25,-2.1,12.9,0.0,25,5.4,Summer
2009-08-26,-2.0,11.3,0.2,50,4.65,Summer
2009-08-27,-2.3,9.7,0.0,66,3.6999999999999997,Summer
2009-08-28,-1.6,10.7,1.4,56,4.55,Summer
2009-08-29,0.8,12.2,0.0,49,6.5,Summer
2009-08-30,-2.8,12.2,0.0,48,4.699999999999999,Summer
2009-08-31,-2.8,14.1,0.0,38,5.65,Summer
2009-09-01,3.0,9.7,1.0,82,6.35,Autumn
2009-09-02,4.4,11.5,6.6,56,7.95,Autumn
2009-09-03,2.3,12.8,0.0,48,7.550000000000001,Autumn
2009-09-04,-2.0,12.3,0.0,60,5.15,Autumn
2009-09-05,-1.9,10.9,0.0,72,4.5,Autumn
2009-09-06,4.8,14.1,4.0,48,9.45,Autumn
2009-09-07,-0.6,11.1,0.0,78,5.25,Autumn
2009-09-08,3.1,12.5,1.2,62,7.8,Autumn
2009-09-09,-2.9,9.6,0.0,70,3.3499999999999996,Autumn
2009-09-10,-3.5,7.6,0.4,68,2.05,Autumn
2009-09-11,-0.3,9.3,0.4,60,4.5,Autumn
2009-09-12,0.1,10.4,0.0,63,5.25,Autumn
2009-09-13,2.3,12.2,0.0,41,7.25,Autumn
2009-09-14,2.1,10.7,0.0,45,6.3999999999999995,Autumn
2009-09-15,4.6,14.7,0.0,51,9.649999999999999,Autumn
2009-09-16,3.7,14.2,0.0,27,8.95,Autumn
2009-09-17,-1.3,11.6,0.0,35,5.1499999999999995,Autumn
2009-09-18,-3.4,12.5,0.0,30,4.55,Autumn
2009-09-19,-5.3,13.1,0.0,47,3.9,Autumn
2009-09-20,0.0,14.0,0.0,36,7.0,Autumn
2009-09-21,2.4,14.1,0.0,27,8.25,Autumn
2009-09-22,-0.6,12.2,0.0,44,5.8,Autumn
2009-09-23,2.3,11.6,0.0,38,6.949999999999999,Autumn
2009-09-24,-3.7,14.4,0.0,28,5.35,Autumn
2009-09-25,-0.9,14.2,0.0,34,6.6499999999999995,Autumn
2009-09-26,-1.5,17.3,0.0,23,7.9,Autumn
2009-09-27,-3.3,15.1,0.0,23,5.9,Autumn
2009-09-28,-0.1,14.7,0.0,43,7.3,Autumn
2009-09-29,-0.2,16.2,0.0,45,8.0,Autumn
2009-09-30,0.5,16.3,0.0,45,8.4,Autumn
2009-10-01,6.1,17.2,4.0,85,11.649999999999999,Autumn
2009-10-02,4.1,14.8,7.4,34,9.45,Autumn
2009-10-03,0.1,16.7,0.0,44,8.4,Autumn
2009-10-04,3.2,12.1,0.0,51,7.65,Autumn
2009-10-05,5.4,11.3,0.2,61,8.350000000000001,Autumn
2009-10-06,5.8,12.4,0.0,73,9.1,Autumn
2009-10-07,6.3,16.1,0.0,33,11.200000000000001,Autumn
2009-10-08,-0.9,16.7,0.0,33,7.8999999999999995,Autumn
2009-10-09,0.2,15.5,1.0,37,7.85,Autumn
2009-10-10,-3.7,14.7,0.0,25,5.5,Autumn
2009-10-11,-2.7,15.2,0.0,35,6.25,Autumn
2009-10-12,-2.5,16.6,0.0,20,7.050000000000001,Autumn
2009-10-13,-0.5,21.6,0.0,27,10.55,Autumn
2009-10-14,9.0,25.5,0.0,31,17.25,Autumn
2009-10-15,13.1,19.4,9.8,43,16.25,Autumn
2009-10-16,8.7,19.7,1.6,33,14.2,Autumn
2009-10-17,3.9,13.2,3.4,33,8.549999999999999,Autumn
2009-10-18,0.7,14.1,0.0,43,7.3999999999999995,Autumn
2009-10-19,1.1,18.0,0.0,36,9.55,Autumn
2009-10-20,5.1,23.3,0.0,30,14.2,Autumn
2009-10-21,7.5,23.3,0.0,15,15.4,Autumn
2009-10-22,4.7,19.5,0.0,25,12.1,Autumn
2009-10-23,3.2,21.9,0.0,50,12.549999999999999,Autumn
2009-10-24,7.8,16.2,17.4,44,12.0,Autumn
2009-10-25,2.4,17.3,0.0,33,9.85,Autumn
2009-10-26,3.2,18.7,0.0,32,10.95,Autumn
2009-10-27,2.5,20.9,0.0,35,11.7,Autumn
2009-10-28,6.5,25.7,0.0,25,16.1,Autumn
2009-10-29,14.4,24.3,0.0,25,19.35,Autumn
2009-10-30,4.9,18.9,0.0,32,11.899999999999999,Autumn
2009-10-31,2.3,16.8,0.0,34,9.55,Autumn
2009-11-01,1.4,20.6,0.0,16,11.0,Autumn
2009-11-02,5.6,27.6,0.0,21,16.6,Autumn
2009-11-03,16.8,28.9,0.0,22,22.85,Autumn
2009-11-04,14.4,20.7,7.6,65,17.55,Autumn
2009-11-05,10.3,21.3,3.0,46,15.8,Autumn
2009-11-06,11.2,18.0,0.0,40,14.6,Autumn
2009-11-07,0.3,16.0,8.2,45,8.15,Autumn
2009-11-08,0.5,17.9,0.0,33,9.2,Autumn
2009-11-09,0.5,20.0,0.0,22,10.25,Autumn
2009-11-10,4.6,22.0,0.0,25,13.3,Autumn
2009-11-11,8.2,22.4,0.0,30,15.299999999999999,Autumn
2009-11-12,4.5,23.9,0.0,27,14.2,Autumn
2009-11-13,6.7,26.1,0.0,47,16.400000000000002,Autumn
2009-11-14,11.9,21.1,13.2,61,16.5,Autumn
2009-11-15,9.2,19.6,0.6,42,14.4,Autumn
2009-11-16,4.4,21.0,0.0,30,12.7,Autumn
2009-11-17,5.0,24.1,0.0,34,14.55,Autumn
2009-11-18,6.7,24.7,0.0,31,15.7,Autumn
2009-11-19,8.3,28.5,0.0,30,18.4,Autumn
2009-11-20,11.3,27.4,0.2,20,19.35,Autumn
2009-11-21,9.0,20.6,0.0,28,14.8,Autumn
2009-11-22,3.4,15.0,0.8,24,9.2,Autumn
2009-11-23,3.2,18.0,0.0,25,10.6,Autumn
2009-11-24,0.9,20.7,0.0,29,10.799999999999999,Autumn
2009-11-25,3.3,25.5,0.0,16,14.4,Autumn
2009-11-26,7.9,26.1,0.0,20,17.0,Autumn
2009-11-27,9.0,30.7,0.0,15,19.85,Autumn
2009-11-28,7.1,28.4,0.0,22,17.75,Autumn
2009-11-29,12.5,19.9,0.0,47,16.2,Autumn
2009-11-30,12.5,26.9,0.0,39,19.7,Autumn
2009-12-01,12.3,30.2,0.0,13,21.25,Winter
